repository_name,repository_url,team_url,last_update,watchers_count,forks_count,open_issues_count,language
redis-locking-worker,https://github.com/yahoo/redis-locking-worker,https://api.github.com/repos/yahoo/redis-locking-worker/teams,2015-01-27T20:47:44Z,14,7,0,JavaScript
simplified-lambda,https://github.com/yahoo/simplified-lambda,https://api.github.com/repos/yahoo/simplified-lambda/teams,2015-09-08T12:21:54Z,14,4,0,Java
hodman,https://github.com/yahoo/hodman,https://api.github.com/repos/yahoo/hodman/teams,2015-07-05T00:48:59Z,13,0,0,JavaScript
express-combo,https://github.com/yahoo/express-combo,https://api.github.com/repos/yahoo/express-combo/teams,2015-02-04T18:53:40Z,13,9,0,JavaScript
bossmashup,https://github.com/yahoo/bossmashup,https://api.github.com/repos/yahoo/bossmashup/teams,2014-12-14T06:21:38Z,13,2,2,
filelogger,https://github.com/yahoo/filelogger,https://api.github.com/repos/yahoo/filelogger/teams,2015-07-23T12:17:47Z,13,4,0,C
node-limits,https://github.com/yahoo/node-limits,https://api.github.com/repos/yahoo/node-limits/teams,2015-05-12T08:43:21Z,13,8,0,JavaScript
dnscache,https://github.com/yahoo/dnscache,https://api.github.com/repos/yahoo/dnscache/teams,2015-08-14T09:22:07Z,13,6,2,JavaScript
fs-lock,https://github.com/yahoo/fs-lock,https://api.github.com/repos/yahoo/fs-lock/teams,2015-05-07T19:59:25Z,13,3,0,JavaScript
express-map,https://github.com/yahoo/express-map,https://api.github.com/repos/yahoo/express-map/teams,2015-03-01T20:40:54Z,13,7,2,JavaScript
es-dependency-graph,https://github.com/yahoo/es-dependency-graph,https://api.github.com/repos/yahoo/es-dependency-graph/teams,2015-08-21T07:10:42Z,12,6,0,JavaScript
html-purify,https://github.com/yahoo/html-purify,https://api.github.com/repos/yahoo/html-purify/teams,2015-09-07T02:01:04Z,12,5,6,HTML
Latent-Factor-Models,https://github.com/yahoo/Latent-Factor-Models,https://api.github.com/repos/yahoo/Latent-Factor-Models/teams,2015-01-11T10:35:45Z,11,7,0,R
searchsdk-android,https://github.com/yahoo/searchsdk-android,https://api.github.com/repos/yahoo/searchsdk-android/teams,2015-08-28T04:44:05Z,11,4,0,Java
httpmetrics,https://github.com/yahoo/httpmetrics,https://api.github.com/repos/yahoo/httpmetrics/teams,2015-05-05T09:56:20Z,11,5,0,JavaScript
grunt-atomizer,https://github.com/yahoo/grunt-atomizer,https://api.github.com/repos/yahoo/grunt-atomizer/teams,2015-06-15T14:58:23Z,10,2,0,JavaScript
artifactory_ssh_proxy,https://github.com/yahoo/artifactory_ssh_proxy,https://api.github.com/repos/yahoo/artifactory_ssh_proxy/teams,2015-08-31T12:43:35Z,10,7,0,Java
YMCache,https://github.com/yahoo/YMCache,https://api.github.com/repos/yahoo/YMCache/teams,2015-09-01T15:28:44Z,10,1,0,Objective-C
searchsdk-ios,https://github.com/yahoo/searchsdk-ios,https://api.github.com/repos/yahoo/searchsdk-ios/teams,2015-08-24T20:13:06Z,10,4,1,Objective-C
cnet,https://github.com/yahoo/cnet,https://api.github.com/repos/yahoo/cnet/teams,2015-08-14T07:23:48Z,10,4,0,C++
Sparkle,https://github.com/yahoo/Sparkle,https://api.github.com/repos/yahoo/Sparkle/teams,2015-06-24T16:02:32Z,10,5,1,Objective-C
xpath_proto_builder,https://github.com/yahoo/xpath_proto_builder,https://api.github.com/repos/yahoo/xpath_proto_builder/teams,2015-08-24T05:41:27Z,9,5,1,Java
yos-social-as3,https://github.com/yahoo/yos-social-as3,https://api.github.com/repos/yahoo/yos-social-as3/teams,2015-02-08T19:09:48Z,9,5,0,ActionScript
Openstack-EC2,https://github.com/yahoo/Openstack-EC2,https://api.github.com/repos/yahoo/Openstack-EC2/teams,2013-12-23T11:58:33Z,9,5,10,Python
express-annotations,https://github.com/yahoo/express-annotations,https://api.github.com/repos/yahoo/express-annotations/teams,2015-05-12T09:45:22Z,9,6,0,JavaScript
coname,https://github.com/yahoo/coname,https://api.github.com/repos/yahoo/coname/teams,2015-08-26T18:20:45Z,9,0,5,Go
sshmap,https://github.com/yahoo/sshmap,https://api.github.com/repos/yahoo/sshmap/teams,2015-03-08T09:27:14Z,9,4,0,Python
gear-lib,https://github.com/yahoo/gear-lib,https://api.github.com/repos/yahoo/gear-lib/teams,2014-07-27T22:27:43Z,9,7,0,JavaScript
fake-server,https://github.com/yahoo/fake-server,https://api.github.com/repos/yahoo/fake-server/teams,2015-08-25T23:31:37Z,9,6,0,JavaScript
express-busboy,https://github.com/yahoo/express-busboy,https://api.github.com/repos/yahoo/express-busboy/teams,2015-06-28T10:08:20Z,8,11,1,JavaScript
log4js,https://github.com/yahoo/log4js,https://api.github.com/repos/yahoo/log4js/teams,2013-10-18T16:46:36Z,8,3,0,JavaScript
CocoaSanitizer,https://github.com/yahoo/CocoaSanitizer,https://api.github.com/repos/yahoo/CocoaSanitizer/teams,2015-09-01T15:58:21Z,8,1,0,Objective-C
keyshop,https://github.com/yahoo/keyshop,https://api.github.com/repos/yahoo/keyshop/teams,2015-07-06T01:54:45Z,8,3,3,Go
mojito-pipeline,https://github.com/yahoo/mojito-pipeline,https://api.github.com/repos/yahoo/mojito-pipeline/teams,2014-11-22T01:33:00Z,8,8,3,JavaScript
pasc,https://github.com/yahoo/pasc,https://api.github.com/repos/yahoo/pasc/teams,2014-11-11T06:14:31Z,8,2,0,Java
hostlists,https://github.com/yahoo/hostlists,https://api.github.com/repos/yahoo/hostlists/teams,2015-06-24T13:57:06Z,7,2,2,Python
ygloo,https://github.com/yahoo/ygloo,https://api.github.com/repos/yahoo/ygloo/teams,2015-04-08T15:37:55Z,7,1,0,
node-info,https://github.com/yahoo/node-info,https://api.github.com/repos/yahoo/node-info/teams,2015-05-25T04:50:55Z,7,3,2,JavaScript
Zake,https://github.com/yahoo/Zake,https://api.github.com/repos/yahoo/Zake/teams,2015-07-04T21:17:20Z,7,7,1,Python
map-reduce-console,https://github.com/yahoo/map-reduce-console,https://api.github.com/repos/yahoo/map-reduce-console/teams,2014-12-12T00:46:10Z,7,5,0,
node-crank,https://github.com/yahoo/node-crank,https://api.github.com/repos/yahoo/node-crank/teams,2015-01-16T09:36:00Z,7,4,1,JavaScript
scanmaster,https://github.com/yahoo/scanmaster,https://api.github.com/repos/yahoo/scanmaster/teams,2014-10-15T10:13:36Z,7,2,0,Python
locator-handlebars,https://github.com/yahoo/locator-handlebars,https://api.github.com/repos/yahoo/locator-handlebars/teams,2015-03-28T05:25:14Z,6,11,1,JavaScript
pasc-paxos,https://github.com/yahoo/pasc-paxos,https://api.github.com/repos/yahoo/pasc-paxos/teams,2014-11-11T06:14:33Z,6,2,0,Java
yvc,https://github.com/yahoo/yvc,https://api.github.com/repos/yahoo/yvc/teams,2014-10-15T10:14:07Z,6,2,0,Python
ctv-devicecommunication-tools,https://github.com/yahoo/ctv-devicecommunication-tools,https://api.github.com/repos/yahoo/ctv-devicecommunication-tools/teams,2015-07-25T18:38:38Z,6,6,0,Python
node-restrict,https://github.com/yahoo/node-restrict,https://api.github.com/repos/yahoo/node-restrict/teams,2015-05-12T08:59:34Z,6,4,2,JavaScript
openstack-ops-tools,https://github.com/yahoo/openstack-ops-tools,https://api.github.com/repos/yahoo/openstack-ops-tools/teams,2015-05-28T17:43:24Z,6,5,0,Python
yupdates-wordpress,https://github.com/yahoo/yupdates-wordpress,https://api.github.com/repos/yahoo/yupdates-wordpress/teams,2015-04-05T00:00:17Z,6,1,0,PHP
formatjs-extract-cldr-data,https://github.com/yahoo/formatjs-extract-cldr-data,https://api.github.com/repos/yahoo/formatjs-extract-cldr-data/teams,2015-06-24T12:59:07Z,5,2,2,JavaScript
express-secure-handlebars,https://github.com/yahoo/express-secure-handlebars,https://api.github.com/repos/yahoo/express-secure-handlebars/teams,2015-07-31T16:26:27Z,5,2,0,JavaScript
jsgrep,https://github.com/yahoo/jsgrep,https://api.github.com/repos/yahoo/jsgrep/teams,2015-06-04T21:35:08Z,5,3,0,Java
cronshot-local,https://github.com/yahoo/cronshot-local,https://api.github.com/repos/yahoo/cronshot-local/teams,2015-06-24T16:02:13Z,5,2,0,JavaScript
mojito-rs-hotswap,https://github.com/yahoo/mojito-rs-hotswap,https://api.github.com/repos/yahoo/mojito-rs-hotswap/teams,2014-10-06T19:22:01Z,5,4,1,JavaScript
pipr,https://github.com/yahoo/pipr,https://api.github.com/repos/yahoo/pipr/teams,2015-04-24T23:47:56Z,5,1,3,Python
mojito-jscheck,https://github.com/yahoo/mojito-jscheck,https://api.github.com/repos/yahoo/mojito-jscheck/teams,2014-09-26T22:16:42Z,5,2,0,JavaScript
yap-samples,https://github.com/yahoo/yap-samples,https://api.github.com/repos/yahoo/yap-samples/teams,2014-07-05T14:17:31Z,5,2,0,PHP
